dataset,model,model_raw,seed,stage,method,lambda_steck,F_in,InputGain,NDCG@10,Recall@10,F_out,Tail,Tail/Head,l_exp_mean,l_exp_median,l_exp_p90,l_exp_p95,n_users,E_out,T,checkpoint,delta_F_out_vs_lam0,RelativeUtilityLoss
lastfm,ngcf,weighted_ngcf,1,POST_LEARNING,steck_catalog,0.75,0.602904152661743,0.0,0.1408785064953988,0.1542905166312809,0.7240615995413926,0.025,0.0303381642512077,0.7831864002823311,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.8240445859872612, 0.12229299363057325, 0.028662420382165606, 0.025]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/NGCF-Aug-13-2026_12-54-22.pth,0.1283439490445859,0.0591181889968183
lastfm,ngcf,weighted_ngcf,1,POST_LEARNING,steck_catalog,0.9,0.602904152661743,0.0,0.1400921402091224,0.1533351026185421,0.711535060263261,0.0251061571125265,0.0309372751651514,0.7831863762008674,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.8115180467091295, 0.13397027600849257, 0.02940552016985138, 0.02510615711252654]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/NGCF-Aug-13-2026_12-54-22.pth,0.1408704883227175,0.064370074142036
lastfm,ngcf,weighted_ngcf,1,POST_LEARNING,steck_catalog,1.0,0.602904152661743,0.0,0.139423478555615,0.1523796886058032,0.7021401558046623,0.0252653927813163,0.0314981471678136,0.783186418343429,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.8021231422505308, 0.14309978768577494, 0.02951167728237792, 0.02526539278131635]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/NGCF-Aug-13-2026_12-54-22.pth,0.1502653927813162,0.0688358482558535
lastfm,ngcf,weighted_ngcf,2,POST_LEARNING,steck_catalog,0.0,0.6033079483411292,0.0,0.1520944122255919,0.1608899504600141,0.855643340518038,0.0088110403397027,0.0092201732948233,0.8749097607350048,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.9556263269639066, 0.029087048832271763, 0.006475583864118896, 0.00881104033970276]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/NGCF-Aug-13-2026_12-55-42.pth,0.0,0.0
lastfm,ngcf,weighted_ngcf,2,POST_LEARNING,steck_catalog,0.1,0.6033079483411292,0.0,0.1506066712116954,0.1587756546355272,0.8151444020891633,0.0153397027600849,0.0167623687721129,0.8288375949697676,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.9151273885350318, 0.05451167728237792, 0.015021231422505308, 0.015339702760084926]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/NGCF-Aug-13-2026_12-55-42.pth,0.0404989384288747,0.0097816940946509
lastfm,ngcf,weighted_ngcf,2,POST_LEARNING,steck_catalog,0.25,0.6033079483411292,0.0,0.1490505765641886,0.1582448690728945,0.7977346356348108,0.0198513800424628,0.0221131673860344,0.8110557036766254,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.8977176220806794, 0.06374734607218684, 0.018683651804670912, 0.019851380042462844]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/NGCF-Aug-13-2026_12-55-42.pth,0.0579087048832271,0.0200128040002451
lastfm,ngcf,weighted_ngcf,2,POST_LEARNING,steck_catalog,0.5,0.6033079483411292,0.0,0.1458434933878072,0.1565463552724699,0.7586157396687812,0.0242038216560509,0.0281899109792284,0.7890251016749502,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.8585987261146497, 0.09304670912951167, 0.024150743099787687, 0.024203821656050957]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/NGCF-Aug-13-2026_12-55-42.pth,0.0970276008492568,0.0410989381287271
lastfm,ngcf,weighted_ngcf,2,POST_LEARNING,steck_catalog,0.75,0.6033079483411292,0.0,0.1421902415620382,0.1547416843595187,0.7285732768237705,0.0276539278131634,0.0333760409993593,0.7835053321779047,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.828556263269639, 0.11624203821656051, 0.027547770700636943, 0.027653927813163483]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/NGCF-Aug-13-2026_12-55-42.pth,0.1270700636942675,0.0651185702263895
lastfm,ngcf,weighted_ngcf,2,POST_LEARNING,steck_catalog,0.9,0.6033079483411292,0.0,0.1413917802874946,0.1536801132342533,0.7164182874394818,0.0276539278131634,0.0338729601456342,0.783505308096441,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.8164012738853503, 0.12754777070063694, 0.028397027600849258, 0.027653927813163483]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/NGCF-Aug-13-2026_12-55-42.pth,0.1392250530785562,0.0703683441191957
lastfm,ngcf,weighted_ngcf,2,POST_LEARNING,steck_catalog,1.0,0.6033079483411292,0.0,0.1409935465908272,0.1531493276716206,0.7071295400934096,0.0279723991507431,0.0346573720899644,0.7835053321779047,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.8071125265392781, 0.1367303609341826, 0.02818471337579618, 0.0279723991507431]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/NGCF-Aug-13-2026_12-55-42.pth,0.1485138004246284,0.072986676317204
ml1m,lightgcn,weighted_lightgcn,0,POST_LEARNING,steck_catalog,0.0,0.4817793780856189,0.0,0.2393270205567131,0.147914631864305,0.7906806614298704,0.000364238410596,0.0004089067320917,0.8284240750897264,0.8999190720258968,0.8999190720258968,0.8999190720258968,6040,"[0.8907615894039735, 0.09508278145695365, 0.013791390728476821, 0.0003642384105960265]","[0.10008092797410305, 0.19989209603452926, 0.2999730240086323, 0.40005395198273536]",checkpoints/LightGCN-Aug-12-2026_19-03-54.pth,0.0,0.0
ml1m,lightgcn,weighted_lightgcn,0,POST_LEARNING,steck_catalog,0.1,0.4817793780856189,0.0,0.229211167909945,0.1422027975849866,0.6703495356020559,0.0050496688741721,0.0065543473589203,0.706965652059733,0.7999190720258968,0.7999190720258968,0.7999190720258968,6040,"[0.770430463576159, 0.16766556291390727, 0.05685430463576159, 0.005049668874172185]","[0.10008092797410305, 0.19989209603452926, 0.2999730240086323, 0.40005395198273536]",checkpoints/LightGCN-Aug-12-2026_19-03-54.pth,0.1203311258278144,0.0422679086683862
