dataset,dataset_name,model,model_raw,seed,intervention_family,intervention_family_code,intervention_parameter,label,configuration_type,F_in_baseline,F_in_intervention,F_out_baseline,F_out_intervention,InputGain,OutputGain,realization_ratio,attenuated_frozen,reversed_frozen,NDCG10_baseline,NDCG10_intervention,relative_NDCG_loss,Recall10_baseline,Recall10_intervention,evidence_tier
lastfm,LastFM,LightGCN,weighted_lightgcn,1,inverse-power,legacy,0.1,legacy_a0.1,intervention,0.602904152661743,0.5399102795722442,0.8720976929596516,0.8679044870148533,0.0629938730894987,0.0041932059447982,0.06656529816543733,True,False,0.1303208937002497,0.1314139991880726,0.0,0.1376503892427447,0.1382873319179038,PRIMARY
lastfm,LastFM,LightGCN,weighted_lightgcn,1,inverse-power,legacy,0.2,legacy_a0.2,intervention,0.602904152661743,0.4706110957767217,0.8720976929596516,0.8614819817069976,0.1322930568850213,0.0106157112526539,0.0802439032146656,True,False,0.1303208937002497,0.1318777240555094,0.0,0.1376503892427447,0.138924274593063,PRIMARY
lastfm,LastFM,LightGCN,weighted_lightgcn,1,inverse-power,legacy,0.4,legacy_a0.4,intervention,0.602904152661743,0.3463223936265191,0.8720976929596516,0.8495923851040252,0.2565817590352239,0.0225053078556263,0.08771203354536493,True,False,0.1303208937002497,0.1337250549644663,0.0,0.1376503892427447,0.141250884642603,PRIMARY
lastfm,LastFM,LightGCN,weighted_lightgcn,1,inverse-power,legacy,0.8,legacy_a0.8,intervention,0.602904152661743,0.0990461573240812,0.8720976929596516,0.8034140411549806,0.5038579953376617,0.0686836518046709,0.1363154945246872,True,False,0.1303208937002497,0.1345254476337275,0.0,0.1376503892427447,0.1402158527954692,PRIMARY
lastfm,LastFM,LightGCN,weighted_lightgcn,2,minimum-perturbation KL,kl,0.1,kl_lam0.1,intervention,0.6033079483411292,0.0964622988049581,0.8692845294776983,0.8118004530445773,0.5068456495361711,0.057484076433121,0.11341534939823657,True,False,0.1304844876122776,0.1337040629787576,0.0,0.1335456475583853,0.1373230714791212,PRIMARY
lastfm,LastFM,LightGCN,weighted_lightgcn,2,minimum-perturbation KL,kl,0.5,kl_lam0.5,intervention,0.6033079483411292,0.215484086133095,0.8692845294776983,0.8409405804331124,0.3878238622080342,0.0283439490445859,0.07308459279223464,True,False,0.1304844876122776,0.1321311857653005,0.0,0.1335456475583853,0.1354387827317752,PRIMARY
lastfm,LastFM,LightGCN,weighted_lightgcn,2,minimum-perturbation KL,kl,2.0,kl_lam2.0,intervention,0.6033079483411292,0.4354287620390172,0.8692845294776983,0.8592526823439403,0.1678791863021119,0.010031847133758,0.059756348328403826,True,False,0.1304844876122776,0.132256087884643,0.0,0.1335456475583853,0.1357572540693548,PRIMARY
lastfm,LastFM,LightGCN,weighted_lightgcn,2,minimum-perturbation KL,kl,8.0,kl_lam8.0,intervention,0.6033079483411292,0.5641472647714693,0.8692845294776983,0.8660998161019021,0.0391606835696599,0.0031847133757961,0.08132425395820941,True,False,0.1304844876122776,0.1315124704975819,0.0,0.1335456475583853,0.134076433121018,PRIMARY
lastfm,LastFM,LightGCN,weighted_lightgcn,2,inverse-power,legacy,0.1,legacy_a0.1,intervention,0.6033079483411292,0.5402724050551676,0.8692845294776983,0.8638705167388447,0.0630355432859616,0.0054140127388535,0.08588825377918546,True,False,0.1304844876122776,0.1321679058100671,0.0,0.1335456475583853,0.1347399150743088,PRIMARY
lastfm,LastFM,LightGCN,weighted_lightgcn,2,inverse-power,legacy,0.2,legacy_a0.2,intervention,0.6033079483411292,0.4709132814066078,0.8692845294776983,0.8573949328747259,0.1323946669345214,0.0118895966029723,0.08980419588088509,True,False,0.1304844876122776,0.1319797505868792,0.0,0.1335456475583853,0.1354830148619946,PRIMARY
lastfm,LastFM,LightGCN,weighted_lightgcn,2,inverse-power,legacy,0.4,legacy_a0.4,intervention,0.6033079483411292,0.3461926610614728,0.8692845294776983,0.844231450921435,0.2571152872796564,0.0250530785562632,0.0974390858720654,True,False,0.1304844876122776,0.1320805252149587,0.0,0.1335456475583853,0.1359695682944079,PRIMARY
lastfm,LastFM,LightGCN,weighted_lightgcn,2,inverse-power,legacy,0.8,legacy_a0.8,intervention,0.6033079483411292,0.0989226070934196,0.8692845294776983,0.7969384572908618,0.5043853412477096,0.0723460721868365,0.14343412916773585,True,False,0.1304844876122776,0.1341687819488698,0.0,0.1335456475583853,0.1373938428874722,PRIMARY
lastfm,LastFM,NeuMF,weighted_neumf,0,minimum-perturbation KL,kl,0.1,kl_lam0.1,intervention,0.6032541089172111,0.0964756364316619,0.8795286908365094,0.8672675443396941,0.5067784724855492,0.0122611464968153,0.02419429230424725,True,False,0.1520693140339152,0.1216574768564876,0.1999866795653791,0.1594833687190357,0.1323956121726812,PRIMARY
