InputGain,OutputGain,dataset,dataset_name,model,intervention_family,seed,intervention_parameter,realization_ratio,reversed_frozen
0.0631224669717765,-0.0027070063694266,lastfm,LastFM,NeuMF,inverse-power,0,0.1,-0.042884990072345634,True
0.1325571013296966,-0.0020700636942674,lastfm,LastFM,NeuMF,inverse-power,0,0.2,-0.015616392283041318,True
0.2582681543325761,0.0045647558386412,lastfm,LastFM,NeuMF,inverse-power,0,0.4,0.017674481975672035,False
0.5048235617413357,0.01104033970276,lastfm,LastFM,NeuMF,inverse-power,0,0.8,0.021869699711870638,False
0.5065105930723104,0.0123673036093417,lastfm,LastFM,NeuMF,minimum-perturbation KL,1,0.1,0.02441667317227484,False
0.3876643920727339,0.0016454352441613,lastfm,LastFM,NeuMF,minimum-perturbation KL,1,0.5,0.004244483831397602,False
0.1678646939117058,-0.0014861995753715,lastfm,LastFM,NeuMF,minimum-perturbation KL,1,2.0,-0.008853556639809069,True
0.0391313201721853,0.000796178343949,lastfm,LastFM,NeuMF,minimum-perturbation KL,1,8.0,0.020346319532427295,False
0.0629938730894987,0.0004246284501061,lastfm,LastFM,NeuMF,inverse-power,1,0.1,0.00674078968763848,False
0.1322930568850213,0.0037154989384288,lastfm,LastFM,NeuMF,inverse-power,1,0.2,0.02808536612513247,False
0.2565817590352239,0.0101910828025476,lastfm,LastFM,NeuMF,inverse-power,1,0.4,0.039718656699787275,False
0.5038579953376617,0.0152866242038216,lastfm,LastFM,NeuMF,inverse-power,1,0.8,0.030339151795293492,False
0.5068456495361711,0.0223991507430999,lastfm,LastFM,NeuMF,minimum-perturbation KL,2,0.1,0.044193238639017626,False
0.3878238622080342,0.0136942675159236,lastfm,LastFM,NeuMF,minimum-perturbation KL,2,0.5,0.035310533596248396,False
0.1678791863021119,0.0020700636942676,lastfm,LastFM,NeuMF,minimum-perturbation KL,2,2.0,0.012330675051893308,False
0.0391606835696599,0.0,lastfm,LastFM,NeuMF,minimum-perturbation KL,2,8.0,0.0,True
