dataset,model,model_raw,seed,label,family,F_out,OutputGain,Lexp_mean,Lexp_median,Lexp_Q75,Lexp_Q90,Lexp_Q95,l_exp_std,n_users,delta_Lexp_mean,delta_l_exp_median,delta_l_exp_p75,delta_l_exp_p90,delta_l_exp_p95,delta_l_exp_std,delta_F_out,model_short,dataset_name,Q25_available,Lexp_Q25
lastfm,lightgcn,weighted_lightgcn,1,kl_lam2.0,kl,0.8636051239575284,0.0084925690021231,0.8803239932172151,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0858341930153028,1884,0.0043526402856638,0.0,0.0,0.0,0.0,-0.0091894885582205,0.0084925690021231,LightGCN,LastFM,False,
lastfm,lightgcn,weighted_lightgcn,1,kl_lam8.0,kl,0.8698683935965943,0.0022292993630572,0.8838803678636239,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0787719833056923,1884,0.000796265639255,0.0,0.0,0.0,0.0,-0.0021272788486099,0.0022292993630572,LightGCN,LastFM,False,
lastfm,lightgcn,weighted_lightgcn,1,legacy_a0.1,legacy,0.8679044870148533,0.0041932059447982,0.8831902593368953,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0792665458437901,1884,0.0014863741659836,0.0,0.0,0.0,0.0,-0.0026218413867077,0.0041932059447982,LightGCN,LastFM,False,
lastfm,lightgcn,weighted_lightgcn,1,legacy_a0.2,legacy,0.8614819817069976,0.0106157112526539,0.8803768851421343,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0833048025090374,1884,0.0042997483607446,0.0,0.0,0.0,0.0,-0.0066600980519551,0.0106157112526539,LightGCN,LastFM,False,
lastfm,lightgcn,weighted_lightgcn,1,legacy_a0.4,legacy,0.8495923851040252,0.0225053078556263,0.8747501969562718,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0958225891453835,1884,0.0099264365466071,0.0,0.0,0.0,0.0,-0.0191778846883012,0.0225053078556263,LightGCN,LastFM,False,
lastfm,lightgcn,weighted_lightgcn,1,legacy_a0.8,legacy,0.8034140411549806,0.0686836518046709,0.8455028619013546,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.1442727879166741,1884,0.0391737716015243,0.0,0.0,0.0,0.0,-0.0676280834595917,0.0686836518046709,LightGCN,LastFM,False,
lastfm,lightgcn,weighted_lightgcn,2,baseline,baseline,0.8692845294776983,0.0,0.8838272772666287,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0726982507050958,1884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LightGCN,LastFM,False,
lastfm,lightgcn,weighted_lightgcn,2,kl_lam0.1,kl,0.8118004530445773,0.057484076433121,0.8432749773242919,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.1583922722709094,1884,0.0405522999423367,0.0,0.0,0.0,0.0,-0.0856940215658135,0.057484076433121,LightGCN,LastFM,False,
lastfm,lightgcn,weighted_lightgcn,2,kl_lam0.5,kl,0.8409405804331124,0.0283439490445859,0.8627020750876898,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.1280837545458719,1884,0.0211252021789388,0.0,0.0,0.0,0.0,-0.055385503840776,0.0283439490445859,LightGCN,LastFM,False,
lastfm,lightgcn,weighted_lightgcn,2,kl_lam2.0,kl,0.8592526823439403,0.010031847133758,0.8771391925461128,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0909523344924689,1884,0.0066880847205158,0.0,0.0,0.0,0.0,-0.018254083787373,0.010031847133758,LightGCN,LastFM,False,
lastfm,lightgcn,weighted_lightgcn,2,kl_lam8.0,kl,0.8660998161019021,0.0031847133757961,0.8823409753450363,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0742345092498878,1884,0.0014863019215923,0.0,0.0,0.0,0.0,-0.0015362585447919,0.0031847133757961,LightGCN,LastFM,False,
lastfm,lightgcn,weighted_lightgcn,2,legacy_a0.1,legacy,0.8638705167388447,0.0054140127388535,0.8811731899137679,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0762093045450946,1884,0.0026540873528607,0.0,0.0,0.0,0.0,-0.0035110538399987,0.0054140127388535,LightGCN,LastFM,False,
lastfm,lightgcn,weighted_lightgcn,2,legacy_a0.2,legacy,0.8573949328747259,0.0118895966029723,0.8783598036782752,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0815116621062634,1884,0.0054674735883535,0.0,0.0,0.0,0.0,-0.0088134114011675,0.0118895966029723,LightGCN,LastFM,False,
lastfm,lightgcn,weighted_lightgcn,2,legacy_a0.4,legacy,0.844231450921435,0.0250530785562632,0.8726269312882392,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0962357691908781,1884,0.0112003459783894,0.0,0.0,0.0,0.0,-0.0235375184857823,0.0250530785562632,LightGCN,LastFM,False,
lastfm,lightgcn,weighted_lightgcn,2,legacy_a0.8,legacy,0.7969384572908618,0.0723460721868365,0.8406196407454996,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.1511221681026623,1884,0.0432076365211291,0.0,0.0,0.0,0.0,-0.0784239173975664,0.0723460721868365,LightGCN,LastFM,False,
lastfm,neumf,weighted_neumf,0,baseline,baseline,0.8795286908365094,0.0,0.8847829381143709,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.0558339314146193,1884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeuMF,LastFM,False,
