dataset,model,model_raw,seed,label,family,user_group,F_out,OutputGain,l_exp_mean,l_exp_median,l_exp_p75,l_exp_p90,l_exp_p95,l_exp_std,n_users,delta_l_exp_mean,delta_l_exp_median,delta_l_exp_p75,delta_l_exp_p90,delta_l_exp_p95,delta_l_exp_std
lastfm,bpr,weighted_bpr,2,baseline,baseline,niche,0.8697622364840677,0.0,0.8279706732671941,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.15252310174076597,465,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,bpr,weighted_bpr,2,baseline,baseline,semi_niche,0.8697622364840677,0.0,0.8993827640826728,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.007938682179923296,473,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,bpr,weighted_bpr,2,baseline,baseline,semi_mainstream,0.8697622364840677,0.0,0.9000170135541318,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,3.3306690738754696e-16,473,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,bpr,weighted_bpr,2,baseline,baseline,mainstream,0.8697622364840677,0.0,0.9000170135541318,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,3.3306690738754696e-16,473,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,bpr,weighted_bpr,2,kl_lam0.1,kl,niche,0.7746454636602885,0.0951167728237791,0.6010799033337418,0.6000170135541314,0.8000170135541314,0.9000170135541314,0.9000170135541314,0.24358915699853995,465,0.22689076993345225,0.30000000000000004,0.10000000000000009,0.0,0.0,-0.09106605525777398
lastfm,bpr,weighted_bpr,2,kl_lam0.1,kl,semi_niche,0.7746454636602885,0.0951167728237791,0.871897721082983,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.09943129062357131,473,0.02748504299968979,0.0,0.0,0.0,0.0,-0.09149260844364801
lastfm,bpr,weighted_bpr,2,kl_lam0.1,kl,semi_mainstream,0.7746454636602885,0.0951167728237791,0.8987484666519354,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.012943846644076589,473,0.0012685469021963547,0.0,0.0,0.0,0.0,-0.012943846644076256
lastfm,bpr,weighted_bpr,2,kl_lam0.1,kl,mainstream,0.7746454636602885,0.0951167728237791,0.9000170135541318,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,3.3306690738754696e-16,473,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,bpr,weighted_bpr,2,kl_lam0.5,kl,niche,0.8303779477367217,0.039384288747346,0.709042783295495,0.8000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.22606219167769556,465,0.11892788997169912,0.10000000000000009,0.0,0.0,0.0,-0.07353908993692959
lastfm,bpr,weighted_bpr,2,kl_lam0.5,kl,semi_niche,0.8303779477367217,0.039384288747346,0.8945200409236528,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.03694873295823385,473,0.004862723159020033,0.0,0.0,0.0,0.0,-0.029010050778310557
lastfm,bpr,weighted_bpr,2,kl_lam0.5,kl,semi_mainstream,0.8303779477367217,0.039384288747346,0.9000170135541318,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,3.3306690738754696e-16,473,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,bpr,weighted_bpr,2,kl_lam0.5,kl,mainstream,0.8303779477367217,0.039384288747346,0.9000170135541318,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,3.3306690738754696e-16,473,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,bpr,weighted_bpr,2,kl_lam2.0,kl,niche,0.8575541685435157,0.0122080679405519,0.8010872575797214,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.16778506826294068,465,0.026883415687472656,0.0,0.0,0.0,0.0,-0.015261966522174708
lastfm,bpr,weighted_bpr,2,kl_lam2.0,kl,semi_niche,0.8575541685435157,0.0122080679405519,0.8985370501614491,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.013715091490522037,473,0.0008457139212236786,0.0,0.0,0.0,0.0,-0.005776409310598741
lastfm,bpr,weighted_bpr,2,kl_lam2.0,kl,semi_mainstream,0.8575541685435157,0.0122080679405519,0.9000170135541318,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,3.3306690738754696e-16,473,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,bpr,weighted_bpr,2,kl_lam2.0,kl,mainstream,0.8575541685435157,0.0122080679405519,0.9000170135541318,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,3.3306690738754696e-16,473,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,bpr,weighted_bpr,2,kl_lam8.0,kl,niche,0.8656221090955327,0.0041401273885349,0.8182924611661055,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.16114979595324094,465,0.009678212101088546,0.0,0.0,0.0,0.0,-0.008626694212474972
