dataset,model,model_raw,seed,label,family,F_out,OutputGain,l_exp_mean,l_exp_median,l_exp_p75,l_exp_p90,l_exp_p95,l_exp_std,n_users,delta_l_exp_mean,delta_l_exp_median,delta_l_exp_p75,delta_l_exp_p90,delta_l_exp_p95,delta_l_exp_std,delta_F_out
ml1m,itemknn,weighted_itemknn,0,kl_lam2.0,kl,0.6926674163967579,0.0511754966887416,0.7846657880115836,0.7999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.14259782536788787,6040,0.02798774736180154,0.09999999999999998,0.0,0.0,0.0,-0.022758314393988427,0.05117549668874166
ml1m,itemknn,weighted_itemknn,0,kl_lam8.0,kl,0.7301839726881485,0.013658940397351,0.8057689274095724,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.12366480674600121,6040,0.006884607963812739,0.0,0.0,0.0,0.0,-0.003825295772101764,0.01365894039735105
ml1m,itemknn,weighted_itemknn,0,legacy_a0.1,legacy,0.719604502489473,0.0242384105960264,0.8006218769930522,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.12702511170786354,6040,0.012031658380332932,0.0,0.0,0.0,0.0,-0.007185600733964098,0.024238410596026494
ml1m,itemknn,weighted_itemknn,0,legacy_a0.2,legacy,0.6887435753371552,0.0550993377483443,0.7860085313805812,0.7999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.1345254814545366,6040,0.026645003992803895,0.09999999999999998,0.0,0.0,0.0,-0.014685970480637162,0.0550993377483443
ml1m,itemknn,weighted_itemknn,0,legacy_a0.4,legacy,0.6225104196999769,0.1213324933855226,0.7429944511636297,0.7000269759913677,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.1594260708781827,6040,0.06965908420975542,0.19989209603452918,0.0,0.0,0.0,-0.03958655990428325,0.12133249338552266
ml1m,itemknn,weighted_itemknn,0,legacy_a0.8,legacy,0.3746461812893809,0.3691967317961186,0.5917840688012834,0.6000269759913677,0.7000269759913677,0.8999190720258968,0.8999190720258968,0.21071138034729692,6040,0.2208694665721017,0.29989209603452915,0.19989209603452918,0.0,0.0,-0.09087186937339747,0.36919673179611867
ml1m,itemknn,weighted_itemknn,1,baseline,baseline,0.7416243700391421,0.0,0.8120902998979914,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.11884460601474449,6040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ml1m,itemknn,weighted_itemknn,1,kl_lam0.1,kl,0.3532634428868241,0.3883609271523179,0.5936015538885623,0.6000269759913677,0.7999190720258968,0.8999190720258968,0.8999190720258968,0.22486718948680898,6040,0.21848874600942914,0.29989209603452915,0.09999999999999998,0.0,0.0,-0.10602258347206449,0.38836092715231796
ml1m,itemknn,weighted_itemknn,1,kl_lam0.5,kl,0.5484786746749035,0.1931456953642385,0.6936493648136601,0.7000269759913677,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.21125348076664702,6040,0.11844093508433129,0.19989209603452918,0.0,0.0,0.0,-0.09240887475190253,0.19314569536423853
ml1m,itemknn,weighted_itemknn,1,kl_lam2.0,kl,0.692468740900069,0.049155629139073,0.7851130267240963,0.7999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.1406171853071135,6040,0.02697727317389509,0.09999999999999998,0.0,0.0,0.0,-0.021772579292369018,0.04915562913907301
ml1m,itemknn,weighted_itemknn,1,kl_lam8.0,kl,0.7279819859331818,0.0136423841059603,0.8049244672241704,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.12301044539195491,6040,0.007165832673820982,0.0,0.0,0.0,0.0,-0.00416583937721042,0.013642384105960303
ml1m,itemknn,weighted_itemknn,1,legacy_a0.1,legacy,0.7174356283172877,0.0241887417218543,0.7998275055068537,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.12584863904505109,6040,0.012262794391137755,0.0,0.0,0.0,0.0,-0.007004033030306597,0.024188741721854368
ml1m,itemknn,weighted_itemknn,1,legacy_a0.2,legacy,0.6878164230192745,0.0538079470198675,0.7854461802174872,0.7999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.13366321420356636,6040,0.026644119680504175,0.09999999999999998,0.0,0.0,0.0,-0.014818608188821872,0.053807947019867575
ml1m,itemknn,weighted_itemknn,1,legacy_a0.4,legacy,0.6242322740046127,0.1173920960345293,0.7429612403239263,0.7000269759913677,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.15862361247939386,6040,0.06912905957406512,0.19989209603452918,0.0,0.0,0.0,-0.039779006464649366,0.11739209603452938
ml1m,itemknn,weighted_itemknn,1,legacy_a0.8,legacy,0.3804077706933544,0.3612165993457876,0.5932079232595572,0.6000269759913677,0.7000269759913677,0.8999190720258968,0.8999190720258968,0.21022737084915857,6040,0.21888237663843424,0.29989209603452915,0.19989209603452918,0.0,0.0,-0.09138276483441408,0.36121659934578765
ml1m,itemknn,weighted_itemknn,2,baseline,baseline,0.7451674163967579,0.0,0.8124382365919497,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.8999190720258968,0.11924688090423555,6040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ml1m,itemknn,weighted_itemknn,2,kl_lam0.1,kl,0.3530647673901353,0.3921026490066225,0.592657027960347,0.6000269759913677,0.7999190720258968,0.8999190720258968,0.8999190720258968,0.2254832550032242,6040,0.21978120863160266,0.29989209603452915,0.09999999999999998,0.0,0.0,-0.10623637409898865,0.39210264900662256
